,1.0,2.0,3.0,4.0,5.0
Ridge_train,9.98827259087,9.50693652724,9.45300899576,9.60138599962,9.8743747133
Ridge_cv,1.27345402878e-05,1.27345402878e-05,1.27345402878e-05,1.27345402878e-05,1.27345402878e-05
Ridge_test,10.559879381,8.09953474571,6.17687857494,10.4146059467,11.9147885572
